model,target_tokens,trial,success,base_mem_mb,peak_mem_mb,mem_increase_mb,elapsed_ms,server_ms
gpt-neo-125m,1500,3,True,822.6,917.3,-1.5,2509.6864960000858,2506.884895999974
gpt-neo-125m,1500,4,True,822.6,923.0,5.7000000000000455,2507.8002999998716,2503.788489999806
pythia-160m,10,0,True,1179.648,1182.72,3.0720000000001164,1486.888246000035,1483.0064499997206
pythia-160m,10,1,True,1179.648,1182.72,0.0,1572.3719279999386,1569.3648480000775
pythia-160m,10,2,True,1179.648,1182.72,0.0,1573.5523430003013,1570.4219899998861
pythia-160m,10,3,True,1179.648,1183.744,0.0,1575.297417999991,1571.8534309999086
pythia-160m,10,4,True,1179.648,1183.744,0.0,1573.507119000169,1570.2727240000058
pythia-160m,100,0,True,1179.648,1213.44,29.69600000000014,1654.4902800001182,1651.5653680003197
pythia-160m,100,1,True,1179.648,1213.44,20.480000000000018,1692.1766750001552,1689.165267000135
pythia-160m,100,2,True,1179.648,1213.44,20.480000000000018,1651.8933939996714,1648.9822910002658
pythia-160m,100,3,True,1179.648,1216.512,23.551999999999907,1793.482830999892,1790.5673969999043
pythia-160m,100,4,True,1179.648,1213.44,17.40800000000013,1769.607004000136,1766.4689859998361
pythia-160m,500,0,True,1179.648,1250.304,57.34400000000005,2164.4641709999632,2161.5762389997144
pythia-160m,500,1,True,1179.648,1247.232,-3.0720000000001164,2211.4597839999988,2208.395745999951
pythia-160m,500,2,True,1179.648,1252.352,5.120000000000118,2106.4257059997544,2103.5608759998468
pythia-160m,500,3,True,1179.648,1248.256,35.840000000000146,2101.144538999961,2098.02517099979
pythia-160m,500,4,True,1179.648,1252.352,25.600000000000136,2120.7361940000737,2117.7919050001037
pythia-160m,1000,0,True,1179.648,1251.328,20.480000000000018,2262.1113509999304,2259.1339639998296
pythia-160m,1000,1,True,1179.648,1252.352,1.0240000000001146,2097.5817839998854,2094.629844999872
pythia-160m,1000,2,True,1179.648,1253.376,1.0239999999998872,2099.500038000315,2096.637462000217
pythia-160m,1000,3,True,1179.648,1251.328,38.912000000000035,2232.1585509994293,2228.9631200005715
pythia-160m,1000,4,True,1179.648,1251.328,0.0,2235.4894930003866,2232.6640119999865
pythia-160m,1500,0,True,1179.648,1253.376,21.503999999999905,2244.2522800001825,2241.261843999382
pythia-160m,1500,1,True,1179.648,1253.376,0.0,2245.368273999702,2242.275545000666
pythia-160m,1500,2,True,1179.648,1253.376,27.64799999999991,2233.3327559999816,2229.0253629998915
pythia-160m,1500,3,True,1179.648,1252.352,-1.0239999999998872,2257.483090000278,2254.5332620002227
