success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,13.590436000072259,9.964066000065941,9.961215999965134,False,fake_b,none,0,fake_b_fp0,,1765392943.8618345
True,200,11.670937000076265,9.797748000096362,9.79610500007766,False,fake_b,none,1,fake_b_fp1,,1765392943.8755524
True,200,11.287774000038553,9.75398100001712,9.752496000032806,False,fake_b,none,2,fake_b_fp2,,1765392943.887322
True,200,11.21876100000918,9.752897999987908,9.7514820000697,False,fake_b,none,3,fake_b_fp3,,1765392943.8987014
True,200,11.275445000023865,9.7760080000171,9.774601999993138,False,fake_b,none,4,fake_b_fp4,,1765392943.9100094
True,200,11.195810000003803,9.768578000034722,9.767114000055699,False,fake_b,none,5,fake_b_fp5,,1765392943.9213746
True,200,11.270954999986316,9.771682000064175,9.770235000019056,False,fake_b,none,6,fake_b_fp6,,1765392943.9326599
True,200,11.239294000006339,9.786779000023671,9.784208000041872,False,fake_b,none,7,fake_b_fp7,,1765392943.944023
True,200,11.179226000081144,9.759809000001951,9.758623999914562,False,fake_b,none,8,fake_b_fp8,,1765392943.9553533
True,200,11.197847999937949,9.763571000007687,9.762562999981128,False,fake_b,none,9,fake_b_fp9,,1765392943.9666214
True,200,11.727235000080327,10.249845999965146,10.248571000033735,False,fake_b,none,10,fake_b_fp10,,1765392943.977925
True,200,11.225004999914745,9.795930999985103,9.79478499994002,False,fake_b,none,11,fake_b_fp11,,1765392943.9897542
True,200,11.226744000055078,9.812796999995044,9.811634000016056,False,fake_b,none,12,fake_b_fp12,,1765392944.0010679
True,200,11.692030999938652,10.271191000015278,10.269730999993953,False,fake_b,none,13,fake_b_fp13,,1765392944.0123835
True,200,11.193067000021983,9.803601000044182,9.80258499998854,False,fake_b,none,14,fake_b_fp14,,1765392944.024185
True,200,11.59805600002528,10.204724000004717,10.203760999957012,False,fake_b,none,15,fake_b_fp15,,1765392944.0354671
True,200,11.165424000068924,9.792759999982081,9.79181000002427,False,fake_b,none,16,fake_b_fp16,,1765392944.0471709
True,200,11.561554000081742,10.190855999894666,10.189831999923626,False,fake_b,none,17,fake_b_fp17,,1765392944.0584345
True,200,11.181864000036512,9.783209000033821,9.782010999970225,False,fake_b,none,18,fake_b_fp18,,1765392944.0700853
True,200,11.620900000025358,10.25082899991503,10.249753999914901,False,fake_b,none,19,fake_b_fp19,,1765392944.0813549
True,200,11.19223000000602,9.802889000070536,9.801852000009603,False,fake_b,none,20,fake_b_fp20,,1765392944.093066
True,200,11.60071300000709,10.226347999946483,10.225405000028331,False,fake_b,none,21,fake_b_fp21,,1765392944.1043453
