success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,1616.4338050002698,1612.1234419997563,1612.1187979997558,False,gpt2-medium,none,0,gpt2-medium_fp0,,1765394512.017216
True,200,1665.410107000298,1662.1497959999942,1662.1440389999407,False,gpt2-medium,none,1,gpt2-medium_fp1,,1765394513.6342669
True,200,1610.924649000026,1607.619132000309,1607.6133580004353,False,gpt2-medium,none,2,gpt2-medium_fp2,,1765394515.3002112
True,200,1609.9531479999314,1606.6115640001044,1606.6062519998923,False,gpt2-medium,none,3,gpt2-medium_fp3,,1765394516.9116209
True,200,1666.6791570000896,1663.5603050003738,1663.554595000278,False,gpt2-medium,none,4,gpt2-medium_fp4,,1765394518.5220418
True,200,1612.774626999908,1609.596514000259,1609.5900200002689,False,gpt2-medium,none,5,gpt2-medium_fp5,,1765394520.1892002
True,200,1663.80062799999,1660.5939649998618,1660.586912999861,False,gpt2-medium,none,6,gpt2-medium_fp6,,1765394521.802146
True,200,1615.1593300000968,1612.0170670001244,1612.0138770002086,False,gpt2-medium,none,7,gpt2-medium_fp7,,1765394523.4664257
True,200,1612.9461220002668,1609.7939159999441,1609.7910720000073,False,gpt2-medium,none,8,gpt2-medium_fp8,,1765394525.0819335
True,200,1664.9391209998612,1661.7555029997675,1661.7519899996296,False,gpt2-medium,none,9,gpt2-medium_fp9,,1765394526.6950314
True,200,1612.6868279998234,1609.491577999961,1609.4884870003625,False,gpt2-medium,none,10,gpt2-medium_fp10,,1765394528.3601491
True,200,1661.7437800000516,1658.7265309999566,1658.7237709995861,False,gpt2-medium,none,11,gpt2-medium_fp11,,1765394529.9732249
True,200,1608.552771000177,1605.4103159999613,1605.4070190002676,False,gpt2-medium,none,12,gpt2-medium_fp12,,1765394531.6355364
True,200,1609.5117979998577,1606.670147999921,1606.6675390002274,False,gpt2-medium,none,13,gpt2-medium_fp13,,1765394533.2444599
True,200,1672.5802939999994,1668.946576000053,1668.9434219997565,False,gpt2-medium,none,14,gpt2-medium_fp14,,1765394534.8541458
True,200,1609.371230999841,1606.486644999677,1606.48395599992,False,gpt2-medium,none,15,gpt2-medium_fp15,,1765394536.5271323
True,200,1661.988883000049,1658.9786109998386,1658.9758929999334,False,gpt2-medium,none,16,gpt2-medium_fp16,,1765394538.136854
True,200,1709.4080580000082,1706.383667999944,1706.3802020002186,False,gpt2-medium,none,17,gpt2-medium_fp17,,1765394539.7994442
True,200,1622.911538000153,1619.5161240002562,1619.5132990001184,False,gpt2-medium,none,18,gpt2-medium_fp18,,1765394541.5094438
True,200,1660.7086490002985,1657.4238530001821,1657.4211520000972,False,gpt2-medium,none,19,gpt2-medium_fp19,,1765394543.1325119
True,200,1610.2921520000564,1607.2019680000267,1607.198979000259,False,gpt2-medium,none,20,gpt2-medium_fp20,,1765394544.793744
True,200,1663.1526979999762,1659.957975999987,1659.9550470000395,False,gpt2-medium,none,21,gpt2-medium_fp21,,1765394546.404289
True,200,1609.127257000182,1606.179061000148,1606.1761010000737,False,gpt2-medium,none,22,gpt2-medium_fp22,,1765394548.0678043
True,200,1611.9805299999825,1608.909199000209,1608.905982000124,False,gpt2-medium,none,23,gpt2-medium_fp23,,1765394549.6772947
True,200,1663.0516770001122,1660.084655999981,1660.081617999822,False,gpt2-medium,none,24,gpt2-medium_fp24,,1765394551.289616
True,200,1609.564846000012,1606.5587349999078,1606.555798000045,False,gpt2-medium,none,25,gpt2-medium_fp25,,1765394552.9530108
True,200,1662.945117000163,1659.9609219997546,1659.9582310000187,False,gpt2-medium,none,26,gpt2-medium_fp26,,1765394554.5629194
True,200,1614.790313999947,1611.8160249998255,1611.813279999751,False,gpt2-medium,none,27,gpt2-medium_fp27,,1765394556.2262254
True,200,1615.3483279999818,1612.2099890003483,1612.2070090000307,False,gpt2-medium,none,28,gpt2-medium_fp28,,1765394557.8413837
True,200,1675.6146319999061,1672.497395999926,1672.4944390002747,False,gpt2-medium,none,29,gpt2-medium_fp29,,1765394559.456965
