success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,2214.5502190001025,2209.8540040001353,2209.8489549998703,False,bloom-560m,none,0,bloom-560m_fp0,,1765394675.4787345
True,200,2209.28579800011,2206.383690000166,2206.378756000049,False,bloom-560m,none,1,bloom-560m_fp1,,1765394677.6953938
True,200,2188.84808599978,2185.6902430004084,2185.685477000334,False,bloom-560m,none,2,bloom-560m_fp2,,1765394679.9048538
True,200,2208.3070560001943,2204.632058000243,2204.626384000221,False,bloom-560m,none,3,bloom-560m_fp3,,1765394682.093846
True,200,2286.530626000058,2283.4321999998792,2283.4265239998786,False,bloom-560m,none,4,bloom-560m_fp4,,1765394684.3025143
True,200,2196.2095549997684,2192.931225999928,2192.9247429998213,False,bloom-560m,none,5,bloom-560m_fp5,,1765394686.5894656
True,200,2280.5243269999664,2277.420309000263,2277.4125630003255,False,bloom-560m,none,6,bloom-560m_fp6,,1765394688.786083
True,200,2191.610909999781,2188.4959230001186,2188.4925690001182,False,bloom-560m,none,7,bloom-560m_fp7,,1765394691.0669734
True,200,2210.837024000284,2207.6960740000686,2207.6922569999624,False,bloom-560m,none,8,bloom-560m_fp8,,1765394693.2589571
True,200,2277.3868990002484,2274.5082840001487,2274.505422999937,False,bloom-560m,none,9,bloom-560m_fp9,,1765394695.4701493
True,200,2193.6778590002177,2190.496368999902,2190.49284599987,False,bloom-560m,none,10,bloom-560m_fp10,,1765394697.747871
True,200,2655.2442430001975,2652.1302569999534,2652.126965000207,False,bloom-560m,none,11,bloom-560m_fp11,,1765394699.9418826
True,200,2194.54058600013,2191.482428999734,2191.4785179997125,False,bloom-560m,none,12,bloom-560m_fp12,,1765394702.5976145
True,200,2199.0526129998216,2195.9187500001462,2195.915628000421,False,bloom-560m,none,13,bloom-560m_fp13,,1765394704.7923
True,200,2361.840317000315,2358.1013789998906,2358.0984169998374,False,bloom-560m,none,14,bloom-560m_fp14,,1765394706.9917536
True,200,2215.9862749999775,2212.9383670003335,2212.9351349999524,False,bloom-560m,none,15,bloom-560m_fp15,,1765394709.353759
True,200,2274.6238610002365,2271.6473549999137,2271.6445199998816,False,bloom-560m,none,16,bloom-560m_fp16,,1765394711.5702498
True,200,2215.5030660001103,2212.1148599999287,2212.1115919999284,False,bloom-560m,none,17,bloom-560m_fp17,,1765394713.8450136
True,200,2207.995191000009,2204.7577719999936,2204.754424999919,False,bloom-560m,none,18,bloom-560m_fp18,,1765394716.0606575
True,200,2277.142213999923,2274.124999000378,2274.1219280001133,False,bloom-560m,none,19,bloom-560m_fp19,,1765394718.2689757
True,200,2202.9102680003234,2199.8441939999793,2199.8404400001164,False,bloom-560m,none,20,bloom-560m_fp20,,1765394720.5464928
True,200,2272.9168910000226,2269.8363849999623,2269.833266000205,False,bloom-560m,none,21,bloom-560m_fp21,,1765394722.7497363
True,200,2203.4718820000307,2200.437783000325,2200.4340580001553,False,bloom-560m,none,22,bloom-560m_fp22,,1765394725.0229821
True,200,2195.490648000032,2192.385877000106,2192.382600000201,False,bloom-560m,none,23,bloom-560m_fp23,,1765394727.226788
True,200,2274.0325899999334,2270.9653970000545,2270.9622849997686,False,bloom-560m,none,24,bloom-560m_fp24,,1765394729.4226162
True,200,2207.980083000166,2204.770491999625,2204.767361999984,False,bloom-560m,none,25,bloom-560m_fp25,,1765394731.69698
True,200,2273.3975490000375,2270.3514700001506,2270.3487779999705,False,bloom-560m,none,26,bloom-560m_fp26,,1765394733.9053125
True,200,2196.461390999957,2193.568957000025,2193.565694999961,False,bloom-560m,none,27,bloom-560m_fp27,,1765394736.1790843
True,200,2288.081305000105,2285.1317859999654,2285.127872999965,False,bloom-560m,none,28,bloom-560m_fp28,,1765394738.3758805
True,200,2291.2558590001026,2287.8043190003154,2287.79459100042,False,bloom-560m,none,29,bloom-560m_fp29,,1765394740.6643968
