success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,1515.159888999733,1511.0699580000073,1511.066289000155,False,gpt2-medium,none,0,gpt2-medium_fp0,,1765394189.3283432
True,200,1561.0362110001006,1557.8450539996993,1557.8405940000266,False,gpt2-medium,none,1,gpt2-medium_fp1,,1765394190.8441422
True,200,1516.4063489996806,1513.106457000049,1513.1024019997312,False,gpt2-medium,none,2,gpt2-medium_fp2,,1765394192.4055734
True,200,1510.2564250000796,1507.2069590000865,1507.202062000033,False,gpt2-medium,none,3,gpt2-medium_fp3,,1765394193.9225097
True,200,1561.8106759998227,1558.6196869999185,1558.6148929996853,False,gpt2-medium,none,4,gpt2-medium_fp4,,1765394195.4329114
True,200,1511.77621800025,1508.8496779999332,1508.8454269998692,False,gpt2-medium,none,5,gpt2-medium_fp5,,1765394196.9950702
True,200,1650.4111439999178,1647.4441290001778,1647.438677000082,False,gpt2-medium,none,6,gpt2-medium_fp6,,1765394198.5073671
True,200,1518.5663269999168,1515.7468289999088,1515.7441459996335,False,gpt2-medium,none,7,gpt2-medium_fp7,,1765394200.1593258
True,200,1507.394805000331,1504.3090430003758,1504.3062360000476,False,gpt2-medium,none,8,gpt2-medium_fp8,,1765394201.678133
True,200,1560.8127839996087,1557.5335009998525,1557.530974999736,False,gpt2-medium,none,9,gpt2-medium_fp9,,1765394203.1856627
True,200,1508.160387999851,1505.188033000195,1505.185368000184,False,gpt2-medium,none,10,gpt2-medium_fp10,,1765394204.746835
True,200,1561.4235550001467,1558.3214739999676,1558.3186720000413,False,gpt2-medium,none,11,gpt2-medium_fp11,,1765394206.2551525
True,200,1524.8524359999465,1521.8958119999115,1521.8933950000064,False,gpt2-medium,none,12,gpt2-medium_fp12,,1765394207.816895
True,200,1513.3318599996528,1510.2340379999077,1510.2316679999603,False,gpt2-medium,none,13,gpt2-medium_fp13,,1765394209.3420508
True,200,1559.9019609999232,1556.8396019998545,1556.8368750000445,False,gpt2-medium,none,14,gpt2-medium_fp14,,1765394210.8555202
True,200,1508.4413829999903,1505.5907069995556,1505.587650999587,False,gpt2-medium,none,15,gpt2-medium_fp15,,1765394212.415734
True,200,1563.3330330001627,1560.444913000083,1560.4421150001144,False,gpt2-medium,none,16,gpt2-medium_fp16,,1765394213.9246883
True,200,1507.2236089999933,1504.3141649998688,1504.3116759998156,False,gpt2-medium,none,17,gpt2-medium_fp17,,1765394215.4891577
True,200,1509.5587410000917,1506.5059839998867,1506.503665999844,False,gpt2-medium,none,18,gpt2-medium_fp18,,1765394216.9965165
True,200,1566.0899019999306,1563.1448710000768,1563.1424130001506,False,gpt2-medium,none,19,gpt2-medium_fp19,,1765394218.506418
True,200,1521.6557690000627,1518.7585959997705,1518.7559450000663,False,gpt2-medium,none,20,gpt2-medium_fp20,,1765394220.072816
True,200,1562.6599040001565,1559.8017050001545,1559.7989750003762,False,gpt2-medium,none,21,gpt2-medium_fp21,,1765394221.594964
True,200,1510.2823700003682,1507.256010999754,1507.2530549996372,False,gpt2-medium,none,22,gpt2-medium_fp22,,1765394223.1577573
True,200,1515.7917039996391,1512.9186569997728,1512.9157589999522,False,gpt2-medium,none,23,gpt2-medium_fp23,,1765394224.668368
True,200,1559.8356069999681,1556.9702260004306,1556.9678630004091,False,gpt2-medium,none,24,gpt2-medium_fp24,,1765394226.1846328
True,200,1523.2686710000962,1520.4727270001968,1520.4705020000802,False,gpt2-medium,none,25,gpt2-medium_fp25,,1765394227.7461233
True,200,1750.2169730000787,1747.1605790001377,1747.157783000148,False,gpt2-medium,none,26,gpt2-medium_fp26,,1765394229.2695615
