success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,573.439709000013,569.2595989999063,569.2539609999585,False,gpt2,none,0,gpt2_fp0,,1765394483.8422768
True,200,577.3945429996274,574.1839209999853,574.1787289998683,False,gpt2,none,1,gpt2_fp1,,1765394484.4162056
True,200,569.1213310001331,566.1136130001978,566.1072419998163,False,gpt2,none,2,gpt2_fp2,,1765394484.9941213
True,200,567.0210200000838,563.6065949997828,563.6004210000465,False,gpt2,none,3,gpt2_fp3,,1765394485.5633764
True,200,578.3165309999276,575.197745999958,575.1917679999679,False,gpt2,none,4,gpt2_fp4,,1765394486.1308546
True,200,570.137803000307,567.0068429999446,567.0008319998487,False,gpt2,none,5,gpt2_fp5,,1765394486.709665
True,200,673.06477000011,669.7153479999542,669.7092560002602,False,gpt2,none,6,gpt2_fp6,,1765394487.2803166
True,200,589.7245370001656,585.6464650000817,585.6433449998804,False,gpt2,none,7,gpt2_fp7,,1765394487.9535673
True,200,564.2375980000907,561.241979999977,561.23942000022,False,gpt2,none,8,gpt2_fp8,,1765394488.543618
True,200,575.9866680000414,573.0688589997044,573.0663609997464,False,gpt2,none,9,gpt2_fp9,,1765394489.1082006
True,200,564.9487900000167,562.1255300002304,562.1231970003464,False,gpt2,none,10,gpt2_fp10,,1765394489.6845038
True,200,576.272409000012,573.2986079997318,573.2959089996257,False,gpt2,none,11,gpt2_fp11,,1765394490.2497704
True,200,565.2857519999088,562.3646310000368,562.3617880000893,False,gpt2,none,12,gpt2_fp12,,1765394490.8263896
True,200,564.6166920000724,561.5390910002134,561.5367949999381,False,gpt2,none,13,gpt2_fp13,,1765394491.391996
True,200,577.4618479999845,574.335828999665,574.3332059996646,False,gpt2,none,14,gpt2_fp14,,1765394491.9569414
True,200,566.0003570001209,563.0656560001626,563.0631850003738,False,gpt2,none,15,gpt2_fp15,,1765394492.5347602
True,200,575.796402999913,572.563399000046,572.5601740000457,False,gpt2,none,16,gpt2_fp16,,1765394493.101086
True,200,569.101622999824,566.5674370002307,566.5645520002727,False,gpt2,none,17,gpt2_fp17,,1765394493.6794064
True,200,565.4990160001034,562.8055530000893,562.7934300000561,False,gpt2,none,18,gpt2_fp18,,1765394494.2488363
True,200,578.7123810000594,575.7499389997065,575.7471779998014,False,gpt2,none,19,gpt2_fp19,,1765394494.8148763
True,200,574.0503720003289,571.2664180000502,571.2636270000075,False,gpt2,none,20,gpt2_fp20,,1765394495.393951
True,200,580.4542020000554,577.6005409998106,577.5981269998738,False,gpt2,none,21,gpt2_fp21,,1765394495.968158
True,200,574.4367340003009,571.7360270000427,571.7336789998626,False,gpt2,none,22,gpt2_fp22,,1765394496.549095
True,200,570.5522380003458,567.4083360004261,567.4053920001825,False,gpt2,none,23,gpt2_fp23,,1765394497.123687
True,200,573.6783759998616,570.854251000128,570.851001000392,False,gpt2,none,24,gpt2_fp24,,1765394497.6947699
True,200,566.1283379999986,563.1108250004218,563.1084450001254,False,gpt2,none,25,gpt2_fp25,,1765394498.2685783
True,200,574.0736769998875,571.1423950001517,571.1395960001937,False,gpt2,none,26,gpt2_fp26,,1765394498.8351197
True,200,563.6154300000271,560.817557000064,560.8144800003174,False,gpt2,none,27,gpt2_fp27,,1765394499.4095895
True,200,566.8530330003705,564.0774539997437,564.0750090001347,False,gpt2,none,28,gpt2_fp28,,1765394499.973517
True,200,573.3605539999189,570.2875760002826,570.2848670002822,False,gpt2,none,29,gpt2_fp29,,1765394500.5406895
