success,status_code,local_elapsed_ms,server_elapsed_ms,actual_elapsed_ms,covert_triggered,model_name,obfuscation_strategy,request_id,tag,is_sensitive,timestamp
True,200,268.2182019998436,263.90089500000613,263.8963670001431,False,pythia-70m,none,0,pythia-70m_fp0,,1765394598.3731692
True,200,269.209685000078,265.4632460003086,265.45838900028684,False,pythia-70m,none,1,pythia-70m_fp1,,1765394598.6419134
True,200,262.937139999849,259.7186860002694,259.713493000163,False,pythia-70m,none,2,pythia-70m_fp2,,1765394598.9113393
True,200,262.274594000246,259.2534700002034,259.2492580001817,False,pythia-70m,none,3,pythia-70m_fp3,,1765394599.1747625
True,200,267.3440110002048,264.10228899976573,264.09712199983915,False,pythia-70m,none,4,pythia-70m_fp4,,1765394599.4372048
True,200,263.02024300002813,259.5319400002154,259.5275839998976,False,pythia-70m,none,5,pythia-70m_fp5,,1765394599.7046933
True,200,265.1257719999194,261.81658699988475,261.81034899991573,False,pythia-70m,none,6,pythia-70m_fp6,,1765394599.9683242
True,200,264.4987339999716,261.2204529996234,261.2169469998662,False,pythia-70m,none,7,pythia-70m_fp7,,1765394600.2340803
True,200,263.53004600014174,260.4268699997192,260.4235579997294,False,pythia-70m,none,8,pythia-70m_fp8,,1765394600.4990025
True,200,264.43367499996384,261.15263199972105,261.1494399998264,False,pythia-70m,none,9,pythia-70m_fp9,,1765394600.7626824
True,200,269.0113379999275,265.37184099970546,265.36815400004343,False,pythia-70m,none,10,pythia-70m_fp10,,1765394601.0276544
True,200,266.4205289997881,263.26827399998365,263.2649719998881,False,pythia-70m,none,11,pythia-70m_fp11,,1765394601.2971323
True,200,262.5513080001838,259.3819799999437,259.3788270000914,False,pythia-70m,none,12,pythia-70m_fp12,,1765394601.5636995
True,200,261.8967280000106,258.86398200009353,258.8610279999557,False,pythia-70m,none,13,pythia-70m_fp13,,1765394601.8267708
True,200,290.7773189999716,286.5032909999172,286.49981900025523,False,pythia-70m,none,14,pythia-70m_fp14,,1765394602.088809
True,200,336.6435929997351,333.55955299975903,333.55557200002295,False,pythia-70m,none,15,pythia-70m_fp15,,1765394602.3797336
True,200,278.99668800000654,275.41670599975987,275.41354100003446,False,pythia-70m,none,16,pythia-70m_fp16,,1765394602.7165282
True,200,237.7409229998193,234.94162999986656,234.9387729996124,False,pythia-70m,none,17,pythia-70m_fp17,,1765394602.9956825
True,200,239.89055899983214,236.9050669999524,236.90206899982513,False,pythia-70m,none,18,pythia-70m_fp18,,1765394603.2335644
True,200,240.66704500000924,237.84876199988503,237.84566699987408,False,pythia-70m,none,19,pythia-70m_fp19,,1765394603.4737737
True,200,237.10394999989148,234.14207100040585,234.1387900000882,False,pythia-70m,none,20,pythia-70m_fp20,,1765394603.7148256
True,200,244.7607130002325,241.89255500004947,241.8894810002712,False,pythia-70m,none,21,pythia-70m_fp21,,1765394603.9520621
True,200,239.91978799995195,237.2298730001603,237.22656100017048,False,pythia-70m,none,22,pythia-70m_fp22,,1765394604.1971521
True,200,238.068425000165,235.27502099977937,235.2722470000117,False,pythia-70m,none,23,pythia-70m_fp23,,1765394604.4374902
True,200,239.3121099999007,236.39217399977497,236.38936599991212,False,pythia-70m,none,24,pythia-70m_fp24,,1765394604.6756938
True,200,237.17255800011117,234.42278399988936,234.41978099981498,False,pythia-70m,none,25,pythia-70m_fp25,,1765394604.9153419
True,200,239.1088750000563,236.29926400008117,236.29658499976358,False,pythia-70m,none,26,pythia-70m_fp26,,1765394605.1528327
True,200,239.62690999996994,236.9027630002165,236.89949100025842,False,pythia-70m,none,27,pythia-70m_fp27,,1765394605.3922799
True,200,237.29381399971317,234.67833999984578,234.6754420000252,False,pythia-70m,none,28,pythia-70m_fp28,,1765394605.632398
True,200,239.35305199984214,236.52258299989626,236.51947200005452,False,pythia-70m,none,29,pythia-70m_fp29,,1765394605.8698275
